model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
bert,hetero,hetero,48.1863,19.3137,19.6078,35.7353,96.6176,82.9412,39.4118,8.0882,97.0588
bert,hetero,case1,88.9563,58.0097,25.3641,96.7233,100.0,99.1505,75.8495,17.233,99.6359
bert,hetero,case2,91.9298,30.0585,35.6725,90.2924,100.0,98.5965,85.0292,79.6491,100.0
bert,heterogrouped,heterogrouped,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
bert,heterounique,heterounique,49.3678,18.862,18.9146,35.2476,96.47,83.7724,38.1981,8.2719,96.9442
bert,heterounique,case1,88.9563,58.0097,25.3641,96.7233,100.0,99.1505,75.8495,17.233,99.6359
bert,heterounique,case2,91.9298,30.0585,35.6725,90.2924,100.0,98.5965,85.0292,79.6491,100.0
bert,case1,case1,88.9563,58.0097,25.3641,96.7233,100.0,99.1505,75.8495,17.233,99.6359
bert,case2,case2,91.9298,30.0585,35.6725,90.2924,100.0,98.5965,85.0292,79.6491,100.0
se-bert,hetero,hetero,48.1863,19.3137,19.6078,35.7353,96.6176,82.9412,39.4118,8.0882,97.0588
se-bert,hetero,case1,88.9563,58.0097,25.3641,96.7233,100.0,99.1505,75.8495,17.233,99.6359
se-bert,hetero,case2,91.9298,30.0585,35.6725,90.2924,100.0,98.5965,85.0292,79.6491,100.0
se-bert,heterogrouped,heterogrouped,96.2085,51.1848,52.2907,75.9874,100.0,99.0521,85.782,22.4329,99.842
se-bert,heterounique,heterounique,49.3678,18.862,18.9146,35.2476,96.47,83.7724,38.1981,8.2719,96.9442
se-bert,heterounique,case1,88.9563,58.0097,25.3641,96.7233,100.0,99.1505,75.8495,17.233,99.6359
se-bert,heterounique,case2,91.9298,30.0585,35.6725,90.2924,100.0,98.5965,85.0292,79.6491,100.0
se-bert,case1,case1,88.9563,58.0097,25.3641,96.7233,100.0,99.1505,75.8495,17.233,99.6359
se-bert,case2,case2,91.9298,30.0585,35.6725,90.2924,100.0,98.5965,85.0292,79.6491,100.0
